"x","y"
796673.570157511,1190686.74590864
797288.430393681,1190686.74590864
796058.70992134,1194280.79047932
796673.570157511,1194280.79047932
797288.430393681,1194280.79047932
794828.989449,1196077.81276466
795443.84968517,1196077.81276466
796058.70992134,1196077.81276466
796673.570157511,1196077.81276466
797288.430393681,1196077.81276466
795443.84968517,1197874.83505
796058.70992134,1197874.83505
796673.570157511,1197874.83505
797903.290629851,1197874.83505
796673.570157511,1199671.85733534
797288.430393681,1199671.85733534
